County,"Index crime rate per 100K, 2013","Index crime rate per 100K, 2014","Index crime rate per 100K, 2015","Index crime rate per 100K, 2016","Index crime rate per 100K, 2017","Average index crime rate, 2013-17"
Holmes County,1713.11557286984,1697.87765293383,1241.08129836197,1524.8,1761.5,1587.67490483313
Indian River County,2426.46110641468,2529.17597814905,2742.00075352692,2131.7,2242.9,2414.44756761813
Jackson County,1979.42829805047,1903.20718281539,2102.73891157002,2071.7,2352.3,2081.87487848718
Jefferson County,1552.83770784664,2185.38055764883,2086.92058681727,2027.9,2053.2,1981.24777046255
Lafayette County,626.595497795312,770.469181232751,911.819021237304,846.8,825.6,796.256740053073
Lake County,2538.5982322125,2555.40201978459,2679.03679766496,2314.9,2448.4,2507.26740993241
Lee County,2566.03151855784,2412.90924810822,2244.21599621534,2086.4,1942.1,2250.33135257628
Leon County,4692.55721557456,5015.42880707592,5294.55813642804,5655.4,4802.4,5092.0688318157
Levy County,975.08932115919,1003.13789439874,2853.04588607595,2897.4,3235.4,2192.81462032677
Madison County,3052.33307553493,2875.20074599803,3348.95833333333,3098,3111.9,3097.27843097326
Manatee County,3709.27510875733,3420.06808159326,3179.75359029511,2640.6,2333.5,3056.63935612914
Marion County,2502.02980227338,2453.66048806508,2437.8306296801,2631.1,2708.2,2546.56418400371
Martin County,2364.98578442297,2012.9891981021,1893.88386133731,1899,2146.1,2063.39176877248
Monroe County,4575.85644371941,4228.56679812004,3813.70778643236,3103.3,2771.5,3698.58620565436
Nassau County,1710.39766410844,1745.86104804769,1442.45845092506,1761.3,1704,1672.80343261624
Okaloosa County,2760.30135546247,2889.34576694324,2952.08913068401,2961.8,2799.1,2872.52725061794
Okeechobee County,4225.139580504,3429.74791603897,3298.21232397883,3499.5,3332.5,3557.01996410436
Orange County,4863.43058642801,4667.20141368654,4527.48172303329,4321.3,4022.2,4480.32274462957
Osceola County,3519.89346686965,3198.07276529083,3046.11662293604,2965,2560.9,3057.9965710193
Palm Beach County,3657.40919643415,3466.45219439539,3451.20525936636,3493,3245.4,3462.69333003918
Pasco County,2926.94154563461,2674.9280260358,2657.3664651304,2461.1,2132.6,2570.58720736016
Pinellas County,4145.32543356968,4186.30218010454,4256.85021021809,3827.5,3484.6,3980.11556477846
Polk County,3304.01498493363,3116.46506433195,2856.95329925504,2746,2304.6,2865.60666970412
Putnam County,4061.70373941189,3531.2935206762,3562.59277585354,3113.5,2548.6,3363.53800718833
St. Johns County,2339.97052708878,2123.47488225681,1889.81392169166,1880.1,1658.6,1978.39186620745
St. Lucie County,2711.35439674765,2476.12447449093,2328.41817000233,2202.7,1944,2332.51940824818
Santa Rosa County,1443.58206678236,1282.97399630754,1281.57127512659,1303.5,1263.2,1314.9654676433
Sarasota County,2913.04713185786,2594.81663818379,2490.04832014612,2274.9,2113.8,2477.32241803755
Seminole County,2867.25712986633,2612.52934205168,2612.31014465921,2652.1,2388.5,2626.53932331545
Sumter County,1100.81443142031,1153.65579302587,1203.55879886215,1168,1212.1,1167.62580466167
Suwannee County,2199.53046292708,1967.48777395399,1489.24682803923,2018.1,1584.2,1851.71301298406
Taylor County,2363.36779911374,2193.44147915576,3049.42166140904,3185.3,3426.8,2843.66618793571
Union County,1020.47406833301,1028.95123665878,577.962055534615,610.6,896.7,826.937472105282
Volusia County,3840.44987955381,3538.74458917418,3570.29508222415,3561.8,3115.2,3525.29791019043
Wakulla County,2040.88243869254,2176.76202653029,1927.56449189656,1759.5,1867.8,1954.50179142388
Walton County,2976.8601048824,2869.90115899854,2531.01982302635,2561,2147,2617.15621738146
Washington County,1790.82805630622,1630.67430586161,1561.56156156156,1530.9,1460.9,1594.97278474588
