"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Marion County, IN"	"18097"	167	950082	17.6
	"St. Joseph County, IN"	"18141"	24	270434	8.9
	"Tippecanoe County, IN"	"18157"	10	190587	Unreliable
	"Vanderburgh County, IN"	"18163"	20	181616	11.0
	"Polk County, IA"	"19153"	26	481830	5.4
	"Scott County, IA"	"19163"	10	172509	Unreliable
	"Johnson County, KS"	"20091"	16	591178	Unreliable
	"Sedgwick County, KS"	"20173"	37	513687	7.2
	"Shawnee County, KS"	"20177"	28	178187	15.7
	"Wyandotte County, KS"	"20209"	37	165288	22.4
	"Fayette County, KY"	"21067"	26	321959	8.1
	"Jefferson County, KY"	"21111"	114	771158	14.8
	"Caddo Parish, LA"	"22017"	57	246581	23.1
	"Calcasieu Parish, LA"	"22019"	17	202445	Unreliable
	"East Baton Rouge Parish, LA"	"22033"	116	446268	26.0
	"Jefferson Parish, LA"	"22051"	61	439036	13.9
	"Lafayette Parish, LA"	"22055"	26	242485	10.7
	"Livingston Parish, LA"	"22063"	13	138228	Unreliable
	"Orleans Parish, LA"	"22071"	137	393292	34.8
	"Ouachita Parish, LA"	"22073"	29	155874	18.6
	"Rapides Parish, LA"	"22079"	18	131648	Unreliable
	"St. Tammany Parish, LA"	"22103"	17	256327	Unreliable
	"Tangipahoa Parish, LA"	"22105"	15	132497	Unreliable
	"Anne Arundel County, MD"	"24003"	22	573235	3.8
	"Baltimore County, MD"	"24005"	79	832468	9.5
	"Charles County, MD"	"24017"	11	159700	Unreliable
	"Harford County, MD"	"24025"	14	252160	Unreliable
	"Montgomery County, MD"	"24031"	24	1058810	2.3
	"Prince George's County, MD"	"24033"	92	912756	10.1
	"Baltimore city, MD"	"24510"	288	611648	47.1
	"Bristol County, MA"	"25005"	14	561483	Unreliable
	"Essex County, MA"	"25009"	24	785205	3.1
	"Hampden County, MA"	"25013"	22	469818	4.7
	"Middlesex County, MA"	"25017"	18	1602947	Unreliable
	"Suffolk County, MA"	"25025"	55	797939	6.9
	"Worcester County, MA"	"25027"	14	826116	Unreliable
	"Berrien County, MI"	"26021"	10	154259	Unreliable
	"Genesee County, MI"	"26049"	50	407385	12.3
	"Ingham County, MI"	"26065"	20	290186	6.9
	"Kalamazoo County, MI"	"26077"	15	262985	Unreliable
	"Kent County, MI"	"26081"	22	648594	3.4
	"Macomb County, MI"	"26099"	39	871375	4.5
	"Muskegon County, MI"	"26121"	13	173693	Unreliable
	"Oakland County, MI"	"26125"	34	1250836	2.7
	"Saginaw County, MI"	"26145"	21	191934	10.9
	"Washtenaw County, MI"	"26161"	14	367627	Unreliable
	"Wayne County, MI"	"26163"	283	1753616	16.1
	"Hennepin County, MN"	"27053"	50	1252024	4.0
	"Ramsey County, MN"	"27123"	27	547974	4.9
	"DeSoto County, MS"	"28033"	14	178751	Unreliable
	"Harrison County, MS"	"28047"	16	205027	Unreliable
	"Hinds County, MS"	"28049"	64	239497	26.7
	"Holmes County, MS"	"28051"	11	17739	Unreliable
	"Lauderdale County, MS"	"28075"	20	76155	26.3
	"Lee County, MS"	"28081"	12	84933	Unreliable
	"Lincoln County, MS"	"28085"	12	34347	Unreliable
	"Washington County, MS"	"28151"	19	46221	Unreliable
	"Yazoo County, MS"	"28163"	10	27057	Unreliable
	"Buchanan County, MO"	"29021"	12	89065	Unreliable
	"Greene County, MO"	"29077"	23	289805	7.9
	"Jackson County, MO"	"29095"	165	698895	23.6
	"St. Louis County, MO"	"29189"	147	996726	14.7
	"St. Louis city, MO"	"29510"	156	308626	50.5
	"Douglas County, NE"	"31055"	29	561620	5.2
	"Clark County, NV"	"32003"	183	2204079	8.3
	"Washoe County, NV"	"32031"	21	460587	4.6
	"Atlantic County, NJ"	"34001"	18	269918	Unreliable
	"Bergen County, NJ"	"34003"	10	948406	Unreliable
	"Burlington County, NJ"	"34005"	13	448596	Unreliable
	"Camden County, NJ"	"34007"	35	510719	6.9
	"Cumberland County, NJ"	"34011"	13	152538	Unreliable
	"Essex County, NJ"	"34013"	107	808285	13.2
	"Hudson County, NJ"	"34017"	27	691643	3.9
	"Mercer County, NJ"	"34021"	22	374733	5.9
