"State.Code..FIPS.","County.Code..FIPS.","County","2013 population","2013 murders","2014 population","2014 murders","2015 population","2015 murders","2016 population","2016 murders","2017 population","2017 murders","2013 murders per 100,000 people","2014 murders per 100,000 people","2015 murders per 100,000 people","2016 murders per 100,000 people","2017 murders per 100,000 people","2013-17 average murders per 100K","2013-17 average population","Index crime rate per 100K, 2013","Index crime rate per 100K, 2014","Index crime rate per 100K, 2015","Index crime rate per 100K, 2016","Index crime rate per 100K, 2017","Average index crime rate, 2013-17","Summary.Level","County.Subdivision.Code..FIPS.","Place.Code..FIPS.","Consolidtated.City.Code..FIPS.","Median annual income","Percent in poverty","Percent black","Percent non-Hispanic white","Percent of households headed by husbandless women","Percent of households headed by husbandless mothers","Median age","Percent of 25-and-older with college degree","Households","Percent in labor force","Percent of homes owner-occupied","Percent of homes vacant","Percent of households headed by wifeless fathers","Percent born outside U.S.","Unemployment rate","Homeowner vacancy rate","Rental vacancy rate","Percent with broadband internet","Births per 1,000 women aged 15-19","Percent of homes rented","BlackCategory","WhiteCategory"
"12","113","Santa Rosa County",157317,3,159785,5,162925,4,167009,6,170835,5,1.90697763115239,3.12920486904278,2.45511738529998,3.59262075696519,2.92680071413937,2.80214427131994,163574.2,1443.58206678236,1282.97399630754,1281.57127512659,1303.5,1263.2,1314.9654676433,50,"00000","00000","00000",62731,11.3,5.8,82.9,11.6,6.5,39.5,27.1,60607,58.9,74.3,12.4,2,7805,6.3,2.2,10.2,84.5,6,25.7,"Less than 10% black","50+"
"12","115","Sarasota County",380804,7,382686,9,387623,11,395049,9,402737,8,1.83821598512621,2.35179755726627,2.83780890194854,2.27819840070472,1.98640800323785,2.25848576965672,389779.8,2913.04713185786,2594.81663818379,2490.04832014612,2274.9,2113.8,2477.32241803755,50,"00000","00000","00000",55236,10.5,4.5,83.5,8.4,3.9,55.1,33.9,177998,48.2,73.4,24.1,1.5,50144,5.7,2.1,9.9,81.5,33,26.6,"Less than 10% black","50+"
"12","117","Seminole County",431074,6,437086,12,442903,9,449124,25,454757,17,1.391872393139,2.74545512782381,2.03204764925954,5.56639146427267,3.73826021369655,3.09480536963831,442988.8,2867.25712986633,2612.52934205168,2612.31014465921,2652.1,2388.5,2626.53932331545,50,"00000","00000","00000",60739,11.8,11.5,62.3,11.3,5.7,39.1,37.6,161371,65.1,65.8,13.6,1.7,55787,6.6,2.1,11.3,88.7,9,34.2,"10-24","50+"
"12","119","Sumter County",105104,2,111125,2,115657,1,118577,1,120700,6,1.90287715025118,1.79977502812148,0.864625573895225,0.843333867444783,4.97100248550124,2.07632282104278,114232.6,1100.81443142031,1153.65579302587,1203.55879886215,1168,1212.1,1167.62580466167,50,"00000","00000","00000",54771,9.2,7.6,84.7,4.2,1.7,66.4,30.9,52360,23.4,90.1,21.8,0.6,6526,6.6,3.1,21.6,81.6,10,9.9,"Less than 10% black","50+"
"12","121","Suwannee County",43873,3,44168,0,44452,1,44349,4,44690,0,6.83791853759715,0,2.24961756501395,9.0193690951318,0,3.62138103954858,44306.4,2199.53046292708,1967.48777395399,1489.24682803923,2018.1,1584.2,1851.71301298406,50,"00000","00000","00000",40600,20.4,13.5,75.7,13.5,7.1,41.7,13.7,15291,51.5,70.8,20.4,1.7,2314,9.1,2.9,3.9,73.4,67,29.2,"10-24","50+"
"12","123","Taylor County",23018,2,22932,0,22824,2,22478,3,22295,0,8.68885220262403,0,8.76270592358921,13.3463831301717,0,6.15958825127699,22709.4,2363.36779911374,2193.44147915576,3049.42166140904,3185.3,3426.8,2843.66618793571,50,"00000","00000","00000",37188,16.4,21.5,71.8,13,6.1,41.4,8.6,7406,39.3,79.2,33,3.4,576,5.9,3.4,19.5,64.7,0,20.8,"10-24","50+"
"12","125","Union County",15483,3,15647,0,15918,0,15887,2,15947,1,19.3760899050572,0,0,12.5889091710203,6.27077193202483,7.64715420162046,15776.4,1020.47406833301,1028.95123665878,577.962055534615,610.6,896.7,826.937472105282,50,"00000","00000","00000",37460,21.4,22.1,69.9,16.8,10.4,39.8,8.3,3946,33,67.7,13.4,1,433,9.8,1.5,5.1,57.6,0,32.3,"10-24","50+"
"12","127","Volusia County",498978,24,503851,12,510434,22,517351,19,523345,27,4.80983129516732,2.38165648177735,4.31005771559105,3.67255499651107,5.15912065654587,4.06664422911853,510791.8,3840.44987955381,3538.74458917418,3570.29508222415,3561.8,3115.2,3525.29791019043,50,"00000","00000","00000",43838,16.1,10.6,72.9,11.1,5.4,46.4,22.7,209885,52.1,69.4,18.7,1.8,38732,6.7,2.5,6.6,75.7,22,30.6,"10-24","50+"
"12","129","Wakulla County",30869,0,31285,1,31283,2,31599,1,31909,0,0,3.19642000958926,6.39324872934182,3.1646571094022,0,2.55086516966665,31389,2040.88243869254,2176.76202653029,1927.56449189656,1759.5,1867.8,1954.50179142388,50,"00000","00000","00000",57866,12.6,15.1,79.3,11.6,5.7,40.7,17.8,11075,56.7,80.4,16,2,559,6.9,3.6,6,75.2,29,19.6,"10-24","50+"
"12","131","Walton County",57779,3,59793,0,60687,1,62943,4,65301,1,5.19219785735302,0,1.64779936394945,6.35495607136616,1.53137011684354,2.94526468190243,61300.6,2976.8601048824,2869.90115899854,2531.01982302635,2561,2147,2617.15621738146,50,"00000","00000","00000",50619,17,4.9,84.3,10.8,5.7,43.2,26.7,25449,57.4,71.2,48.5,1.7,3736,5.7,2.3,26.8,77,29,28.8,"Less than 10% black","50+"
"12","133","Washington County",24793,0,24959,1,24975,0,24888,0,24985,2,0,4.00657077607276,0,0,8.00480288172904,2.40227473156036,24920,1790.82805630622,1630.67430586161,1561.56156156156,1530.9,1460.9,1594.97278474588,50,"00000","00000","00000",36989,21,15.4,77.6,11.8,5.3,41.9,11.3,8558,48.9,78.9,21,1.7,679,10.1,2.6,7.8,66.2,3,21.1,"10-24","50+"
